,Unnamed: 0,beds,baths,size,lot_size,zip_code,price,Area,Possibility to negotiate,Price cut on original price,longitude,latitude
23,23,6,3.0,1843.0,7720.9,98125,859087.9,Central/Downtown,Middle,28636,-122.30308,47.716648
24,24,4,3.5,1625.5,1629.7,98108,702095.6,Central/Downtown,Low,27303,-122.31514,47.546188
25,25,5,7.5,2777.6,5076.1,98126,1439006.7,Central/Downtown,Middle,55961,-122.3748,47.54687
26,26,4,4.0,1502.3,1307.5,98115,894000.9,Central/Downtown,Middle,19866,-122.30122,47.68382
27,27,3,3.0,790.4,13068.0,98119,408998.4,Central/Downtown,Middle,6816,-122.36694,47.63877
28,28,5,2.5,1916.2,7967.3,98118,468879.4,Central/Downtown,Low,15629,-122.27496,47.543348
29,29,5,4.0,1741.7,3202.7,98146,768846.3,Central/Downtown,Middle,21356,-122.35688,47.501753
30,30,7,7.0,2316.1,8712.0,98133,955524.1,Central/Downtown,Low,47776,-122.34461,47.733852
31,31,4,4.5,1384.3,1015.6,98103,997620.6,Central/Downtown,Middle,38796,-122.34166,47.671346
32,32,6,5.0,2824.9,6084.3,98133,890487.6,Central/Downtown,Low,4947,-122.34461,47.733852
33,33,4,4.0,2670.3,5738.5,98103,878061.6,Central/Downtown,Low,29268,-122.34166,47.671346
34,34,3,3.0,561.7,21780.0,98109,434601.7,Central/Downtown,Middle,0,-122.34675,47.630648
35,35,4,4.0,1197.3,2947.8,98112,744967.0,Central/Downtown,Low,20693,-122.29752,47.629653
36,36,4,2.0,1179.4,4805.5,98126,689200.8,Central/Downtown,Middle,26802,-122.3748,47.54687
37,37,6,3.5,2189.1,3778.2,98106,970857.6,Central/Downtown,Low,21574,-122.35443,47.53282
38,38,7,5.5,3502.7,13068.0,98136,2181713.1,Central/Downtown,Low,60603,-122.38803,47.538887
39,39,6,4.5,2341.1,2693.2,98115,1473719.7,Central/Downtown,Middle,73685,-122.30122,47.68382
40,40,5,5.0,2207.3,6311.7,98117,1688588.9,Central/Downtown,Middle,28143,-122.37838,47.685919
41,41,3,2.0,657.3,6901.9,98177,563684.5,Central/Downtown,Middle,25052,-122.36978,47.740886
42,42,4,3.0,2411.6,5753.5,98126,791162.9,Central/Downtown,Middle,8790,-122.3748,47.54687
43,43,5,3.0,1494.5,6178.6,98199,1000102.4,Central/Downtown,High,38892,-122.39758,47.64767
44,44,3,2.0,730.7,2940.9,98103,689099.2,Central/Downtown,High,34454,-122.34166,47.671346
45,45,7,5.0,2669.6,5891.6,98136,791057.9,Central/Downtown,Middle,17579,-122.38803,47.538887
46,46,7,4.0,2783.6,3474.3,98112,1390230.6,Central/Downtown,Middle,61788,-122.29752,47.629653
47,47,3,4.0,999.0,4998.4,98122,764998.1,Central/Downtown,Middle,12749,-122.30406,47.61157
48,48,5,4.0,1562.1,7406.8,98125,541631.6,Central/Downtown,Middle,27081,-122.30308,47.716648
49,49,5,4.5,1392.9,7567.6,98105,792918.5,Central/Downtown,Middle,39645,-122.30118,47.66377
50,50,4,3.5,1281.6,1021.0,98122,704016.6,Central/Downtown,Middle,11733,-122.30406,47.61157
51,51,5,7.5,3812.9,8515.5,98105,5000086.0,Central/Downtown,High,0,-122.30118,47.66377
52,52,7,5.0,2232.6,13068.0,98168,537079.0,Central/Downtown,Middle,11935,-122.3027,47.491327
53,53,7,5.0,2746.0,5873.7,98136,821192.8,Central/Downtown,Middle,0,-122.38803,47.538887
54,54,4,2.0,1010.0,3468.8,98117,527673.1,Central/Downtown,Middle,2931,-122.37838,47.685919
55,55,6,4.0,2050.8,4716.2,98117,925194.9,Central/Downtown,Middle,0,-122.37838,47.685919
56,56,5,3.5,2493.6,4003.3,98119,1181360.8,Central/Downtown,Low,26252,-122.36694,47.63877
57,57,4,4.0,1227.6,1227.7,98103,709126.7,Central/Downtown,Middle,27577,-122.34166,47.671346
58,58,4,4.0,2603.2,6399.4,98103,1458381.4,Central/Downtown,Middle,0,-122.34166,47.671346
59,59,6,4.5,2004.9,39204.0,98117,1462064.4,Central/Downtown,Middle,24367,-122.37838,47.685919
60,60,4,3.0,2177.5,6617.5,98178,836654.6,Central/Downtown,Middle,4648,-122.24664,47.497971
61,61,6,3.5,2543.6,6959.2,98115,1827630.7,Central/Downtown,Middle,60921,-122.30122,47.68382
62,62,5,2.5,1250.1,4676.2,98106,586978.2,Central/Downtown,Middle,16304,-122.35443,47.53282
63,63,8,5.5,8102.2,13068.0,98102,3962788.3,Central/Downtown,High,44030,-122.32253,47.63287
64,64,5,2.0,1773.6,13068.0,98168,500038.9,Central/Downtown,Middle,22223,-122.3027,47.491327
65,65,4,2.0,805.9,6097.1,98118,514292.2,Central/Downtown,Middle,22857,-122.27496,47.543348
66,66,5,5.5,1392.4,1212.7,98103,601052.4,Central/Downtown,Middle,16695,-122.34166,47.671346
67,67,5,3.0,1066.8,5948.0,98106,571100.4,Central/Downtown,Middle,19036,-122.35443,47.53282
68,68,5,4.5,2381.9,8712.0,98146,1532458.8,Central/Downtown,Middle,8513,-122.35688,47.501753
69,69,4,6.0,2164.7,881.7,98109,1587832.1,Central/Downtown,Middle,8821,-122.34675,47.630648
70,70,5,3.0,1403.8,39204.0,98144,840735.4,Central/Downtown,Low,42036,-122.30081,47.58577
71,71,5,4.5,2549.7,3225.9,98118,968591.3,Central/Downtown,Middle,5381,-122.27496,47.543348
72,72,3,3.5,1717.9,6560.0,98115,840320.5,Central/Downtown,Low,32679,-122.30122,47.68382
73,73,2,3.0,574.9,21780.0,98109,342660.7,Central/Downtown,High,1903,-122.34675,47.630648
74,74,4,7.5,1478.9,1281.6,98103,589706.2,Central/Downtown,Middle,19656,-122.34166,47.671346
75,75,4,2.0,809.4,4970.8,98118,470432.8,Central/Downtown,Middle,7840,-122.27496,47.543348
76,76,4,4.0,1837.1,4563.2,98105,866268.7,Central/Downtown,Middle,43313,-122.30118,47.66377
77,77,5,4.0,1966.5,8712.0,98133,732996.8,Central/Downtown,Middle,32577,-122.34461,47.733852
78,78,5,5.5,2720.9,3930.6,98106,912155.9,Central/Downtown,Low,0,-122.35443,47.53282
79,79,5,2.0,2016.5,4659.6,98105,1145609.0,Central/Downtown,Low,31822,-122.30118,47.66377
80,80,4,4.5,1676.9,161172.0,98118,657422.5,Central/Downtown,Middle,18261,-122.27496,47.543348
81,81,5,6.0,2786.2,3928.3,98119,1429368.3,Central/Downtown,Middle,55586,-122.36694,47.63877
82,82,4,4.0,1742.3,6101.6,98118,912229.9,Central/Downtown,Low,45611,-122.27496,47.543348
83,83,5,5.0,1392.1,490.8,98117,720752.6,Central/Downtown,Low,32033,-122.37838,47.685919
84,84,5,4.0,2230.4,4930.3,98119,1366436.8,Central/Downtown,Middle,68321,-122.36694,47.63877
85,85,6,5.5,2859.4,7458.0,98117,1713337.5,Central/Downtown,Middle,76148,-122.37838,47.685919
86,86,6,6.0,2950.8,5431.3,98119,1522404.3,Central/Downtown,Low,42289,-122.36694,47.63877
87,87,5,2.0,1030.8,3502.8,98106,367984.9,Central/Downtown,Low,14310,-122.35443,47.53282
88,88,5,4.0,1611.3,4608.6,98199,842814.0,Central/Downtown,Middle,28093,-122.39758,47.64767
89,89,5,4.5,2464.2,7692.9,98136,1029564.2,Central/Downtown,Middle,34318,-122.38803,47.538887
90,90,3,2.5,2650.7,5615.4,98102,1098198.9,Central/Downtown,Middle,36606,-122.32253,47.63287
91,91,5,3.5,2442.9,4658.1,98115,1502206.9,Central/Downtown,Low,8345,-122.30122,47.68382
92,92,11,6.0,3545.2,5796.3,98116,1244651.2,Central/Downtown,Low,48403,-122.39392,47.57487
93,93,6,3.0,1854.4,5604.7,98168,589481.9,Central/Downtown,High,6549,-122.3027,47.491327
94,94,3,2.0,745.0,8712.0,98133,352547.7,Central/Downtown,Low,9792,-122.34461,47.733852
95,95,5,5.5,2422.4,3725.4,98108,1121111.9,Central/Downtown,Middle,56055,-122.31514,47.546188
96,96,6,5.0,2066.2,5013.1,98115,1086887.1,Central/Downtown,Low,12076,-122.30122,47.68382
97,97,6,3.5,1905.0,4513.2,98116,936745.2,Central/Downtown,Middle,10408,-122.39392,47.57487
98,98,4,5.5,1272.4,951.6,98117,670092.4,Central/Downtown,Low,3722,-122.37838,47.685919
99,99,2,3.0,680.5,174240.0,98115,314279.2,Central/Downtown,Middle,1745,-122.30122,47.68382
100,100,3,4.0,1745.3,9156.2,98125,763660.3,Central/Downtown,Middle,16970,-122.30308,47.716648
101,101,5,5.5,2748.5,17424.0,98177,1348082.4,Central/Downtown,Middle,14978,-122.36978,47.740886
102,102,7,9.5,2990.4,4089.2,98115,1541301.2,Central/Downtown,Middle,68502,-122.30122,47.68382
103,103,4,3.0,1087.9,517.3,98115,694533.9,Central/Downtown,Middle,3858,-122.30122,47.68382
104,104,3,3.5,1415.3,852.1,98105,840037.3,Central/Downtown,Low,37334,-122.30118,47.66377
105,105,3,3.0,1444.9,4436.6,98126,656778.7,Central/Downtown,Middle,29190,-122.3748,47.54687
106,106,3,3.0,855.9,609.0,98107,529014.1,Central/Downtown,Middle,2938,-122.37468,47.66747
107,107,5,4.5,1877.1,1504.6,98115,827969.7,Central/Downtown,Middle,27598,-122.30122,47.68382
108,108,5,4.5,1439.6,1251.0,98117,810175.9,Central/Downtown,Middle,9001,-122.37838,47.685919
109,109,4,4.0,1657.2,4584.2,98122,1150427.2,Central/Downtown,Middle,12782,-122.30406,47.61157
110,110,6,4.0,2013.7,5711.5,98125,868415.6,Central/Downtown,Middle,14473,-122.30308,47.716648
111,111,4,2.5,1229.5,1229.2,98115,779647.9,Central/Downtown,Middle,12994,-122.30122,47.68382
112,112,3,3.0,581.1,8712.0,98146,431105.6,Central/Downtown,High,7185,-122.35688,47.501753
113,113,5,4.0,1739.0,2899.7,98144,893028.8,Central/Downtown,High,14883,-122.30081,47.58577
114,114,3,2.5,1255.3,3075.6,98133,549386.9,Central/Downtown,Middle,12208,-122.34461,47.733852
115,115,4,3.0,1040.0,65340.0,98119,594565.8,Central/Downtown,Middle,16515,-122.36694,47.63877
116,116,7,5.0,2739.0,4601.2,98103,1248744.8,Central/Downtown,High,6937,-122.34166,47.671346
117,117,6,4.5,2342.1,3109.9,98109,1578884.5,Central/Downtown,Middle,17543,-122.34675,47.630648
118,118,4,4.5,2564.3,3809.6,98109,1570096.4,Central/Downtown,Middle,43613,-122.34675,47.630648
119,119,4,4.5,1642.2,1585.0,98117,791150.1,Central/Downtown,Low,8790,-122.37838,47.685919
120,120,4,4.0,1468.1,2186.6,98126,711773.3,Central/Downtown,Middle,15817,-122.3748,47.54687
121,121,5,2.0,1560.5,2557.6,98122,495434.4,Central/Downtown,Middle,2752,-122.30406,47.61157
122,122,5,2.0,1138.6,5408.8,98105,1073904.0,Central/Downtown,Low,0,-122.30118,47.66377
123,123,6,5.0,1892.0,4758.1,98144,880256.1,Central/Downtown,Low,14670,-122.30081,47.58577
124,124,5,3.0,2343.6,4445.2,98126,1141462.9,Central/Downtown,Low,57073,-122.3748,47.54687
125,125,4,3.5,1550.1,3585.3,98117,772733.4,Central/Downtown,Low,21464,-122.37838,47.685919
126,126,3,3.0,776.5,8712.0,98121,616233.0,Central/Downtown,Middle,13694,-122.34578,47.61487
127,127,4,3.0,1534.6,8420.2,98106,693193.4,Central/Downtown,Low,11553,-122.35443,47.53282
128,128,4,2.0,829.6,3791.6,98108,471877.7,Central/Downtown,Low,7864,-122.31514,47.546188
129,129,6,3.5,2819.5,8098.4,98168,513654.4,Central/Downtown,Low,5707,-122.3027,47.491327
130,130,3,2.5,945.6,1430.9,98106,522611.5,Central/Downtown,Middle,23227,-122.35443,47.53282
131,131,4,4.0,1510.2,5413.0,98168,587410.8,Central/Downtown,High,6526,-122.3027,47.491327
132,132,4,4.0,1728.3,4046.1,98126,731441.9,Central/Downtown,Middle,36572,-122.3748,47.54687
133,133,6,3.5,2902.4,4534.1,98115,1372995.3,Central/Downtown,High,0,-122.30122,47.68382
134,134,7,4.5,3477.4,6987.8,98118,1221602.1,Central/Downtown,Middle,13573,-122.27496,47.543348
135,135,4,4.5,2248.6,6729.8,98115,1427158.5,Central/Downtown,Low,63429,-122.30122,47.68382
136,136,5,4.5,2050.9,9327.7,98117,949089.8,Central/Downtown,Middle,10545,-122.37838,47.685919
137,137,4,3.0,952.7,5461.8,98118,653308.8,Central/Downtown,Middle,25406,-122.27496,47.543348
138,138,4,3.5,1116.4,43560.0,98144,637790.9,Central/Downtown,Middle,17716,-122.30081,47.58577
139,139,5,5.0,2200.0,9391.3,98178,1185150.4,Central/Downtown,Low,39505,-122.24664,47.497971
140,140,7,5.0,3000.2,5177.3,98122,2018317.3,Central/Downtown,Middle,78490,-122.30406,47.61157
141,141,6,5.0,3545.7,4560.0,98107,1426527.5,Central/Downtown,Middle,23775,-122.37468,47.66747
142,142,3,3.0,1685.8,4942.8,98116,941594.1,Central/Downtown,Middle,31386,-122.39392,47.57487
143,143,4,3.0,1170.6,796.3,98136,680000.8,Central/Downtown,Middle,22666,-122.38803,47.538887
144,144,4,3.0,1376.7,3334.8,98117,683008.7,Central/Downtown,Low,22766,-122.37838,47.685919
145,145,6,4.5,3681.3,13068.0,98125,3034262.2,Central/Downtown,Middle,134856,-122.30308,47.716648
146,146,7,6.0,3465.9,5256.6,98119,1353390.5,Central/Downtown,Middle,7518,-122.36694,47.63877
147,147,5,2.5,1307.4,6218.8,98178,637321.0,Central/Downtown,High,14162,-122.24664,47.497971
148,148,4,5.0,1728.9,13068.0,98101,2300294.5,Central/Downtown,Low,115014,-122.33438,47.61067
149,149,6,4.0,2333.7,4831.6,98115,1237622.5,Central/Downtown,Low,20627,-122.30122,47.68382
150,150,5,4.5,2094.0,4898.0,98106,812619.6,Central/Downtown,Middle,22572,-122.35443,47.53282
151,151,7,4.0,2885.0,30491.999999999996,98178,749083.7,Central/Downtown,Middle,37454,-122.24664,47.497971
152,152,6,5.0,3080.8,17424.0,98168,714242.9,Central/Downtown,Middle,19840,-122.3027,47.491327
153,153,4,3.0,1636.3,4231.6,98115,690258.4,Central/Downtown,Middle,26843,-122.30122,47.68382
154,154,6,4.0,1970.9,6797.9,98178,622952.2,Central/Downtown,Low,0,-122.24664,47.497971
155,155,3,3.0,814.1,5955.7,98126,450766.8,Central/Downtown,High,7512,-122.3748,47.54687
156,156,5,5.5,3714.0,6612.4,98144,2306233.1,Central/Downtown,Middle,25624,-122.30081,47.58577
157,157,6,4.5,3058.5,6135.4,98115,1471046.3,Central/Downtown,High,16344,-122.30122,47.68382
158,158,2,2.0,603.1,13068.0,98133,265596.0,Central/Downtown,Low,0,-122.34461,47.733852
159,159,5,3.0,1794.6,4927.3,98106,620645.9,Central/Downtown,Low,31032,-122.35443,47.53282
160,160,5,3.5,1408.2,1852.3,98118,807314.0,Central/Downtown,Low,22425,-122.27496,47.543348
161,161,7,5.5,3296.1,8712.0,98106,922016.1,Central/Downtown,Middle,46100,-122.35443,47.53282
162,162,5,4.0,2357.9,3259.0,98119,1232779.8,Central/Downtown,Middle,54790,-122.36694,47.63877
163,163,4,3.5,1040.0,43560.0,98144,657069.3,Central/Downtown,Middle,18251,-122.30081,47.58577
164,164,4,3.0,1085.4,682.9,98103,692341.9,Central/Downtown,Low,11539,-122.34166,47.671346
165,165,4,4.0,1838.6,4693.8,98199,413784.3,Central/Downtown,Low,0,-122.39758,47.64767
166,166,4,2.0,1728.2,4244.5,98116,660444.8,Central/Downtown,Low,33022,-122.39392,47.57487
167,167,6,5.0,1600.4,2847.3,98117,816182.0,Central/Downtown,Middle,18137,-122.37838,47.685919
168,168,4,4.0,1105.4,888.6,98103,697094.5,Central/Downtown,Middle,30981,-122.34166,47.671346
169,169,5,5.0,2138.3,3356.1,98105,1337474.2,Central/Downtown,Low,0,-122.30118,47.66377
170,170,4,3.5,2259.8,4636.4,98117,1027962.9,Central/Downtown,Middle,51398,-122.37838,47.685919
171,171,5,6.0,2502.3,5537.5,98103,952948.5,Central/Downtown,Low,26470,-122.34166,47.671346
172,172,7,6.0,3838.7,4907.3,98105,2558835.2,Central/Downtown,Low,113726,-122.30118,47.66377
173,173,6,4.0,2619.5,9694.1,98177,1291421.3,Central/Downtown,High,28698,-122.36978,47.740886
174,174,4,3.0,906.4,3987.2,98107,844478.8,Central/Downtown,Low,28149,-122.37468,47.66747
175,175,6,6.5,2223.1,4855.8,98105,1756775.7,Central/Downtown,Low,87838,-122.30118,47.66377
176,176,3,3.0,1073.5,2498.3,98117,573376.3,Central/Downtown,Middle,9556,-122.37838,47.685919
177,177,6,4.5,1792.0,2939.8,98103,1190802.7,Central/Downtown,Middle,52924,-122.34166,47.671346
178,178,4,4.0,1070.6,39204.0,98121,1053768.1,Central/Downtown,Low,46834,-122.34578,47.61487
179,179,5,4.0,2246.4,3754.5,98105,2015125.9,Central/Downtown,Middle,100756,-122.30118,47.66377
180,180,3,4.0,1026.6,4995.1,98133,611398.1,Central/Downtown,Middle,27173,-122.34461,47.733852
181,181,4,2.5,1083.9,5686.9,98122,674905.4,Central/Downtown,Middle,26246,-122.30406,47.61157
182,182,4,4.0,1336.5,1897.9,98136,724332.8,Central/Downtown,Middle,0,-122.38803,47.538887
183,183,5,4.0,1474.3,3934.7,98117,701369.6,Central/Downtown,Middle,27275,-122.37838,47.685919
184,184,5,4.5,1362.1,2130.9,98106,542326.9,Central/Downtown,Middle,18077,-122.35443,47.53282
185,185,16,7.0,10293.0,13068.0,98112,3502560.8,Central/Downtown,Middle,155669,-122.29752,47.629653
186,186,6,3.0,1683.2,4686.4,98105,924867.4,Central/Downtown,Low,20552,-122.30118,47.66377
187,187,5,4.5,3552.5,4031.3,98103,1584709.7,Central/Downtown,Middle,52823,-122.34166,47.671346
188,188,6,4.0,1952.8,5972.7,98118,564873.6,Central/Downtown,Low,25105,-122.27496,47.543348
189,189,4,3.0,1415.0,6419.3,98115,922887.4,Central/Downtown,High,5127,-122.30122,47.68382
190,190,4,4.5,1010.8,5144.4,98107,772363.8,Central/Downtown,Middle,34327,-122.37468,47.66747
191,191,3,3.0,1434.0,5214.3,98115,381124.2,Central/Downtown,Middle,19056,-122.30122,47.68382
192,192,5,4.0,1267.0,2648.4,98117,782197.6,Central/Downtown,Low,4345,-122.37838,47.685919
193,193,4,3.0,975.9,4301.1,98116,722088.2,Central/Downtown,High,36104,-122.39392,47.57487
194,194,4,3.0,1085.9,5774.1,98144,591602.6,Central/Downtown,Low,23006,-122.30081,47.58577
195,195,2,2.0,724.0,43560.0,98116,469621.4,Central/Downtown,Middle,18263,-122.39392,47.57487
196,196,5,4.5,1895.3,6784.0,98106,770649.4,Central/Downtown,Middle,8562,-122.35443,47.53282
197,197,6,7.5,2764.5,4864.2,98115,1664053.9,Central/Downtown,Middle,73957,-122.30122,47.68382
198,198,6,4.0,1116.9,4285.9,98117,876444.3,Central/Downtown,High,34083,-122.37838,47.685919
199,199,4,3.0,1751.0,2895.6,98199,974209.7,Central/Downtown,Middle,10824,-122.39758,47.64767
200,200,3,4.0,2152.5,5564.3,98126,520102.7,Central/Downtown,Low,20226,-122.3748,47.54687
201,201,4,5.0,1217.5,875.3,98107,726964.0,Central/Downtown,Middle,16154,-122.37468,47.66747
202,202,5,3.0,1351.3,4920.6,98106,564856.6,Central/Downtown,Middle,3138,-122.35443,47.53282
203,203,4,3.5,2309.2,4138.7,98117,1630034.8,Central/Downtown,Low,63390,-122.37838,47.685919
204,204,5,3.5,1432.2,985.7,98122,836587.9,Central/Downtown,Middle,4647,-122.30406,47.61157
205,205,6,4.0,2426.3,6366.5,98106,853057.5,Central/Downtown,High,42652,-122.35443,47.53282
206,206,5,3.5,1392.1,1029.2,98106,515072.4,Central/Downtown,High,20030,-122.35443,47.53282
207,207,2,3.0,592.1,13068.0,98104,340368.1,Central/Downtown,Middle,3781,-122.32855,47.60252
208,208,6,5.0,2085.6,4995.6,98126,796612.2,Central/Downtown,Middle,39830,-122.3748,47.54687
209,209,3,3.0,875.0,5886.0,98133,571438.2,Central/Downtown,Middle,15873,-122.34461,47.733852
210,210,7,3.5,2726.8,8712.0,98106,727221.2,Central/Downtown,Low,24240,-122.35443,47.53282
211,211,5,5.5,2707.3,3728.7,98112,856404.7,Central/Downtown,Low,23789,-122.29752,47.629653
212,212,4,2.0,2516.9,8259.2,98125,763318.3,Central/Downtown,Middle,29684,-122.30308,47.716648
213,213,4,4.5,1506.3,1532.8,98122,849330.8,Central/Downtown,Middle,37748,-122.30406,47.61157
214,214,3,4.0,1210.3,161172.0,98168,305367.4,Central/Downtown,Middle,3392,-122.3027,47.491327
215,215,4,3.5,1126.5,1247.7,98144,714582.7,Central/Downtown,Low,35729,-122.30081,47.58577
216,216,7,3.5,2557.1,5841.8,98126,928399.9,Central/Downtown,Low,15473,-122.3748,47.54687
217,217,5,2.5,3121.2,5038.5,98199,1599582.5,Central/Downtown,Middle,17773,-122.39758,47.64767
218,218,6,5.0,2267.3,4235.4,98115,1383163.4,Central/Downtown,Middle,15368,-122.30122,47.68382
219,219,3,3.5,1848.5,13068.0,98116,905469.1,Central/Downtown,Low,10060,-122.39392,47.57487
220,220,4,4.5,1548.9,1150.7,98117,846695.2,Central/Downtown,Middle,37630,-122.37838,47.685919
221,221,3,3.0,1174.4,761.5,98107,725106.9,Central/Downtown,High,8056,-122.37468,47.66747
222,222,5,4.0,1041.0,2110.2,98105,796491.9,Central/Downtown,Middle,35399,-122.30118,47.66377
223,223,4,5.0,1126.8,6189.1,98117,803132.5,Central/Downtown,Middle,17847,-122.37838,47.685919
224,224,3,2.0,819.3,4313.6,98122,689306.8,Central/Downtown,Middle,7658,-122.30406,47.61157
225,225,6,4.0,1505.6,5314.8,98118,502288.7,Central/Downtown,Low,25114,-122.27496,47.543348
226,226,4,5.0,2352.0,4833.6,98136,1203783.7,Central/Downtown,Middle,20063,-122.38803,47.538887
227,227,5,3.0,2992.3,3984.6,98112,2501203.9,Central/Downtown,Middle,0,-122.29752,47.629653
228,228,4,4.5,1361.6,2747.0,98119,1147275.8,Central/Downtown,Middle,25495,-122.36694,47.63877
229,229,5,3.0,2834.2,8004.7,98115,1337852.5,Central/Downtown,Middle,44595,-122.30122,47.68382
230,230,4,5.0,1082.2,607.3,98144,608304.1,Central/Downtown,High,0,-122.30081,47.58577
231,231,2,2.0,480.7,3875.5,98168,358531.6,Central/Downtown,Low,0,-122.3027,47.491327
232,232,5,4.0,1536.6,6068.8,98126,860359.4,Central/Downtown,Middle,28678,-122.3748,47.54687
233,233,6,5.0,2279.4,7108.9,98133,862893.8,Central/Downtown,Low,28763,-122.34461,47.733852
234,234,3,3.0,2247.2,5462.5,98199,1398026.7,Central/Downtown,High,23300,-122.39758,47.64767
235,235,5,3.5,1369.2,4544.4,98136,727874.6,Central/Downtown,Low,0,-122.38803,47.538887
236,236,5,3.0,2297.8,6931.6,98115,900941.3,Central/Downtown,Low,5005,-122.30122,47.68382
237,237,6,2.5,2023.0,5971.1,98125,642419.0,Central/Downtown,High,7137,-122.30308,47.716648
238,238,6,4.0,2848.5,4182.5,98105,1031160.4,Central/Downtown,Low,22914,-122.30118,47.66377
239,239,4,3.5,1355.2,8616.1,98168,379117.7,Central/Downtown,Middle,16849,-122.3027,47.491327
240,240,4,2.0,684.6,3888.4,98106,477123.2,Central/Downtown,Middle,21205,-122.35443,47.53282
241,241,5,3.5,1828.3,2685.4,98108,933246.8,Central/Downtown,Middle,31108,-122.31514,47.546188
242,242,5,5.5,1576.8,1274.3,98126,715194.5,Central/Downtown,Middle,35759,-122.3748,47.54687
243,243,3,3.0,935.0,13068.0,98106,378893.7,Central/Downtown,Low,6314,-122.35443,47.53282
244,244,4,3.0,1518.4,856.2,98109,1406013.2,Central/Downtown,Low,70300,-122.34675,47.630648
245,245,4,3.5,1711.7,1417.4,98103,1204328.1,Central/Downtown,Middle,20072,-122.34166,47.671346
246,246,4,3.0,1032.6,1134.7,98122,635109.4,Central/Downtown,Low,3528,-122.30406,47.61157
247,247,5,3.0,2142.3,8970.1,98177,931968.4,Central/Downtown,Middle,20710,-122.36978,47.740886
248,248,4,3.0,1444.1,4445.8,98117,809788.4,Central/Downtown,Middle,13496,-122.37838,47.685919
249,249,6,5.0,3728.6,7287.1,98116,1425073.3,Central/Downtown,Low,71253,-122.39392,47.57487
250,250,5,5.5,2351.3,2180.3,98119,1732719.8,Central/Downtown,Middle,48131,-122.36694,47.63877
251,251,6,5.0,2605.4,6537.7,98125,1206116.7,Central/Downtown,Middle,60305,-122.30308,47.716648
252,252,3,4.0,1083.2,554.7,98144,605844.2,Central/Downtown,Middle,20194,-122.30081,47.58577
253,253,5,3.0,1400.2,2210.7,98103,889013.8,Central/Downtown,High,4938,-122.34166,47.671346
254,254,4,6.5,1220.7,1206.0,98144,617438.3,Central/Downtown,High,6860,-122.30081,47.58577
255,255,3,3.0,2050.8,5156.7,98116,857712.5,Central/Downtown,Middle,38120,-122.39392,47.57487
256,256,5,3.5,1516.5,6017.3,98115,839374.5,Central/Downtown,Middle,13989,-122.30122,47.68382
257,257,4,3.0,1742.5,2077.1,98122,1244713.8,Central/Downtown,High,34575,-122.30406,47.61157
258,258,5,4.0,1740.9,3748.3,98106,673462.8,Central/Downtown,High,33673,-122.35443,47.53282
